Rank(P),Point,Rank(C),Cristal,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,이전아이디,비고,여단,SRP,SRC
1,69,1,"68,000",4,63,91,31,9,48,41,1,1,9,39,31,26,16,64,니나노오피스7o,노센레이어,4,64,128,32,16,64,64,1,1,16,64,32,32,16,64,"니나노오피스7, 니나노오피스7o",,BlackTea,1,1
2,62,2,"66,000",-,-,62,207,-,87,237,5,24,1,2,40,2,1,64,하루에하나씩,성검,원더,원더,64,256,256,128,256,8,32,1,2,64,2,1,4,"하루에하나씩, 엑시즈, 엑시즈TVmSR",,인연,1,1
4,55,3,"60,500",254,228,119,247,3,106,12,46,163,11,102,15,54,2,64,갑꾸꾸,티스라오,256,256,128,256,4,128,16,64,256,16,128,16,64,2,1,,,카르페디엠,2,1
3,56,4,"59,500",-,152,213,194,62,1,4,22,4,17,3,10,55,110,128,크리티아네,티스라오,원더,256,256,256,64,1,4,32,4,32,4,16,64,128,128,"ser3, 레  이  첼",,여고생,1,2
5,49,5,"57,000",160,239,187,161,52,89,159,3,8,3,70,147,4,12,64,깡통대장,발디아,256,256,256,256,64,128,256,4,8,4,128,256,4,16,32,알아서기어,,형귀헬스장,1,1
6,47,6,"52,000",-,-,-,128,217,128,11,174,147,2,16,3,1,17,128,Pooh,라카스,원더,원더,원더,128,256,128,16,256,256,2,16,4,1,32,128,,,,1,1
6,47,7,"51,000",129,6,179,2,63,10,-,249,10,48,31,66,57,82,64,촐라체,티스라오,256,8,256,2,64,16,원더,256,16,64,32,128,64,128,64,,,여고생,3,3
9,43,8,"49,500",233,71,31,63,222,120,84,79,111,20,29,7,178,28,64,가우르 구라,티스라오,256,128,32,64,256,128,128,128,128,32,32,8,256,32,16,씨씨,,전설의 시작,5,4
10,41,9,"48,000",88,189,236,234,6,16,146,19,236,46,42,33,39,15,128,파오,노센레이어,128,256,256,256,8,16,256,32,256,64,64,64,64,16,128,,,랑린이,2,2
11,40,10,"46,500",-,194,4,155,50,175,15,69,52,74,75,57,14,61,128,시크릿아이I,노센레이어,원더,256,4,256,64,256,16,128,64,128,128,64,16,64,128,,,피닉스,3,3
8,44,11,"46,000",-,-,-,-,-,-,177,75,5,23,1,1,18,14,64,나비탕,티스라오,-,골3,골1,원더,원더,원더,256,128,8,32,1,1,32,16,32,,,머피소,4,5
15,36,11,"46,000",217,173,148,225,154,4,83,72,27,222,111,110,16,20,128,Affogato,카먼,256,256,256,256,256,4,128,128,32,256,128,128,16,32,128,"어터미, 에스프레소, 진홍의사신뽑음, 알베도뽑음",,알하자드,2,1
13,39,11,"46,000",-,-,139,201,98,32,256,6,13,76,132,9,42,95,64,일리천,카먼,원더,원더,256,256,128,32,256,8,16,128,256,16,64,128,8,,,랑갤럼,1,1
15,36,14,"45,000",196,87,243,159,202,105,9,119,45,84,9,25,46,119,128,실력,발디아,256,128,256,256,256,128,16,128,64,128,16,32,64,128,128,"실력, 심신미약 실력",,인연,2,2
15,36,15,"44,000",-,11,27,69,139,76,174,17,219,149,8,213,56,,64,알테리온12,티스라오,원더,16,32,128,256,128,256,32,256,256,8,256,64,256,32,,,카르페디엠,6,6
15,36,16,"43,500",156,22,229,-,36,43,27,49,235,37,11,37,60,,256,부모님무병장수,카먼,256,32,256,원더,64,64,32,64,256,64,16,64,64,256,256,,,랑갤럼,2,3
15,36,17,"43,000",-,-,7,245,81,133,107,130,15,166,44,126,38,25,64,이그니션,티스라오,원더,원더,8,256,128,256,128,256,16,256,64,128,64,32,16,"이그니션, 이그재명",,여고생,6,7
29,32,18,"42,500",204,193,25,252,215,101,24,250,48,103,68,95,48,,64,베올브,티스라오,256,256,32,256,256,128,32,256,64,128,128,128,64,256,32,,,카르페디엠,10,8
23,34,19,"42,000",116,13,128,141,250,5,100,237,32,83,100,61,-,80,256,천언,티스라오,128,16,128,256,256,8,128,256,32,128,128,64,원더,128,256,"천언, 랑그나라옴팡공주",,카르페디엠,8,9
13,39,20,"41,500",-,-,-,-,-,108,31,71,7,29,22,158,21,3,64,묵령,레이갈드,골3,골2,원더,원더,원더,128,32,128,8,32,32,256,32,4,16,"카먼지존프란이김, 묵령, 묵령efPy9j",,사신,1,1
23,34,20,"41,500",61,27,37,122,16,153,171,161,23,228,98,18,107,,,파이노메나,칼자스,64,32,64,128,16,256,256,256,32,256,128,32,128,256,-,,,고양이,1,1
21,35,22,"41,000",-,-,-,253,70,7,38,33,127,40,97,125,5,,64,으으으으,카콘시스,골1,원더,원더,256,128,8,64,64,128,64,128,128,8,256,32,,,,1,1
26,33,22,"41,000",-,95,26,172,121,197,-,97,131,244,18,13,120,62,64,블리에르,노센레이어,골3,128,32,256,128,256,원더,128,256,256,32,16,128,64,16,"Aimer, 블리에르, 일레이나, LOSTARK, 블리에bKwVW, 블리에",,랑린이,4,4
11,40,24,"40,500",8,126,46,103,10,14,206,238,2,4,-,-,-,,,월단평,리그리아,8,128,64,128,16,16,256,256,2,4,원더,-,-,-,-,빛의기원,,Legend,1,1
29,32,24,"40,500",-,-,203,220,41,155,155,85,47,88,43,16,10,41,128,꼰대쿤,칼자스,원더,원더,256,256,64,256,256,128,64,128,64,16,16,64,128,"탈모쿤, 검식이의용기변, 꼰순이, 착하게살겠습니다",,형귀헬스장,2,2
37,30,24,"40,500",-,53,153,7,240,50,57,198,79,81,242,256,34,123,256,송쉬엔,티스라오,원더,64,256,8,256,64,64,256,128,128,256,256,64,128,256,"송기사, 2101점222, 송기사TV, 프로날빌러, 아슈람은사기캐, 요슈아는사기캐, 테센트로간봐라, 송벽이, 송냥이, 256참가자송기, 뮤기사, 송파펀, SP송레니어, 송구라, 인생망했다우앙아, 각송자, 송쉬엔",,,12,10
26,33,27,"40,000",-,-,-,185,111,86,95,41,12,27,34,8,73,,128,OOSSSS3,티스라오,실1,원더,원더,256,128,128,128,64,16,32,64,8,128,256,128,,,흑우단,9,11
37,30,27,"40,000",-,-,250,235,93,196,77,52,43,245,184,4,45,99,64,노에미(카먼),카먼,골3,원더,256,256,128,256,128,64,64,256,256,4,64,128,64,"스콧트, 노에미",,UCL,6,4
60,26,29,"39,500",132,226,66,34,180,243,93,94,179,50,28,90,196,,256,파크데가리,티스라오,256,256,128,64,256,256,128,128,256,64,32,128,256,256,256,"스페리올, 서밋밋님한판해요, 푸른눈의 백룡, 전투자극제, 큐 큐 샤, 리볼케인, 돈가스먹으러가자, 도스쥬그라, 도스쥬그라스, 파크데가리",,슬레이어즈,20,12
60,26,29,"39,500",172,214,237,236,133,211,63,68,98,125,155,48,212,91,64,망치상어,발디아,256,256,256,256,256,256,64,128,128,128,256,64,256,128,32,,,,4,3
48,28,31,"39,000",242,191,194,-,56,100,87,105,226,42,25,43,163,35,256,こまつなな,티스라오,256,256,256,원더,64,128,128,128,256,64,32,64,256,64,256,코마츠나나,,여고생,16,13
48,28,31,"39,000",-,200,227,150,30,249,116,142,121,137,95,45,17,23,256,늅늅늅늅늅,카콘시스,원더,256,256,256,32,256,128,256,128,256,128,64,32,32,256,"민등, 늅늅늅늅늅",,카콘시스,3,2
21,35,33,"38,500",-,185,10,9,33,24,44,-,232,-,198,30,170,24,64,SP알약콩,레이갈드,실1,256,16,16,64,32,64,원더,256,원더,256,32,256,32,64,"Ren, 정면돌파, 미드미아빠, 약알콩, 약Maker, 알약콩",계정 변경 약알콩(S9),대한민국,2,2
26,33,33,"38,500",244,25,42,-,73,-,-,64,25,45,33,52,143,102,64,리블릿,레이갈드,256,32,64,원더,128,원더,-,64,32,64,64,64,256,128,32,,,대한민국,3,2
37,30,33,"38,500",73,245,3,10,227,124,66,109,30,250,192,157,191,,,에르니,티스라오,128,256,4,16,256,128,128,128,32,256,256,256,256,-,-,,,여고생,12,14
43,29,36,"38,000",-,-,77,99,187,135,60,39,126,117,24,44,66,73,128,검사헤인,티스라오,원더,원더,128,128,256,256,64,64,128,128,32,64,128,128,128,,,슬레이어즈,15,15
53,27,36,"38,000",-,-,35,208,198,3,103,140,155,85,139,123,125,55,256,핑꾸사자,엘스리드,-,원더,64,256,256,4,128,256,256,128,256,128,128,64,256,"핑꾸사자, BKBK",,카콘시스,1,1
15,36,38,"37,500",30,4,23,166,209,9,14,131,108,41,-,56,-,,,현타온사람,카먼,32,4,32,256,256,16,16,256,128,64,골1,64,원더,원더,원더,"김범수빈, 기 술, 기 습, 삼가고인의명복을, 미때로, 너 개못하자나, 그건 나였고, 김범수빈은죽었다,군범수빈, 미지의 유저, 군범수빈, 무수한 별빛, 암살에진심인사람, 하트언더블레이드, 나만이없는거리, 흉악한행성의마검, 20220406, 감사했습니다다들, 극악수빈, I    l  I  l, 현타온사람","계졍 변경 극악(S9), 김범수빈(S12), 노에미(카먼)",,2,5
23,34,38,"37,500",-,-,-,-,74,-,-,47,3,93,21,108,7,10,64,트리카라,리그리아,실3,골2,원더,원더,128,원더,원더,64,4,128,32,128,8,16,64,,,,2,2
33,31,38,"37,500",-,-,-,30,12,53,23,84,229,231,153,183,113,44,64,이궁,티스라오,원더,원더,원더,32,16,64,32,128,256,256,256,256,128,64,32,"이궁, 병신계정123",,카르페디엠,11,16
37,30,38,"37,500",99,21,181,180,15,21,19,207,73,98,187,171,69,,,초천재병약미소녀,티스라오,128,32,256,256,16,32,32,256,128,128,256,256,128,골3,원더,"아프리카흑인탱커, 소드마스터고길동, 보트마스터배길동, 찌찌가웅장해진다, 박살천사도구로쨩, 홀리몰리과카몰리, 함무바라마디진다, 탑골공원랑그노인, 벽만보면핥는남자",계정 변경 초천재병약미소녀(S16),여고생,12,16
65,25,38,"37,500",-,196,57,12,150,138,81,231,233,191,101,60,219,94,256,산나비,티스라오,원더,256,64,16,256,256,128,256,256,256,128,64,256,128,256,"Amuro, 안울어, Hathaway, Deidara, Jinx, 팝 팀 에픽, Heero, Seele, Inverse, 트릭컬, 산나비",,카르페디엠,23,16
65,25,38,"37,500",-,230,108,85,192,145,149,170,136,253,45,101,98,30,64,fev,카먼,원더,256,128,128,256,256,256,256,256,256,64,128,128,32,64,"북하니, 포켓몬트레이너, 북한이, 니홍진, fev",,랑갤럼,9,5
33,31,44,"37,000",-,34,76,199,14,73,6,57,55,-,-,119,243,76,256,어나더쿄,레이갈드,원더,64,128,256,16,128,8,64,64,골1,-,128,256,128,256,"어쿄, 얽효",,대한민국,4,4
48,28,44,"37,000",-,-,-,228,57,51,34,7,172,205,72,100,27,,256,나리솔,레이갈드,골3,원더,원더,256,64,64,64,8,256,256,128,128,32,256,256,"솔나리, 쇼메이커, 솔나리MaDZa, 나리솔",,대한민국,5,4
53,27,44,"37,000",153,78,92,26,126,-,62,15,184,-,144,107,122,,256,어스퀘이크,티스라오,256,128,128,32,128,원더,64,16,256,원더,256,128,128,256,256,,,여고생,18,19
65,25,44,"37,000",58,147,132,51,218,91,161,227,26,181,239,50,126,,,형 님,티스라오,64,256,256,64,256,128,256,256,32,256,256,64,128,256,원더,"형 님, 쭈 쭈, 옷파랑색사고싶다",,초련,23,19
53,27,48,"36,500",-,231,38,110,208,118,99,34,92,152,-,164,28,21,256,네시사분,칼자스,원더,256,64,128,256,128,128,64,128,256,-,256,32,32,256,러시안블루집사,,인연,3,3
65,25,48,"36,500",87,154,255,156,-,-,141,146,243,22,10,117,92,,64,핏콩,티스라오,128,256,256,256,원더,원더,256,256,256,32,16,128,128,256,64,"쌩유, 흉ㄱ1, xㅐ앙",,여고생,23,21
97,21,50,"35,500",43,122,-,173,145,140,47,81,250,138,94,195,204,,256,물방개모험,티스라오,64,128,원더,256,256,256,64,128,256,256,128,256,256,256,256,사막,,카르페디엠,33,22
33,31,51,"35,000",-,-,140,115,49,122,1,58,17,54,-,-,124,,128,눈씨,벨제리아,실3,골3,256,128,64,128,1,64,32,64,-,원더,128,-,128,,,코스믹 킹덤,1,1
53,27,51,"35,000",-,172,141,-,195,-,90,18,197,18,6,192,222,9,,바람,노센레이어,원더,256,256,원더,256,원더,128,32,256,32,8,256,256,16,원더,"리아버억, 시계바람, 마요네즈시바사키, 마요네즈시바기권, 바람",,,5,5
33,31,51,"35,000",-,-,-,-,-,-,-,-,246,170,79,2,8,4,64,전설적영검,벨제리아,실2,실2,골3,골3,실1,골3,원더,원더,256,256,128,2,8,4,8,,,,1,1
43,29,54,"34,500",-,-,-,-,-,-,73,173,21,90,4,5,47,57,256,베스티아 제타,라카스,-,실2,골3,골1,원더,원더,128,256,32,128,4,8,64,64,256,"ShilinKa, 아멜리아 왓슨, 베스티아 제타",,고양이,2,2
73,24,54,"34,500",34,188,231,112,23,56,111,226,144,140,36,175,228,,,RZ,티스라오,64,256,256,128,32,64,128,256,256,256,64,256,256,-,-,,,,27,23
73,24,54,"34,500",-,-,158,-,97,79,223,78,9,56,47,206,251,90,256,나기사 카오루,티스라오,원더,원더,256,원더,128,128,256,128,16,64,64,256,256,128,256,신 이슬레이,,월광,27,23
86,22,54,"34,500",-,49,178,-,77,77,89,132,237,216,92,120,91,124,256,파블류,티스라오,원더,64,256,원더,128,128,128,256,256,256,128,128,128,128,256,,,슬레이어즈,31,23
43,29,58,"34,000",198,19,8,65,249,8,42,144,241,209,-,-,-,,64,방천극v,카콘시스,256,32,8,128,256,8,64,256,256,256,원더,원더,원더,원더,64,"빤스타임, 번스타인",,카콘시스,2,3
53,27,58,"34,000",161,9,13,45,178,209,53,122,182,97,166,98,-,,,홍뉴,카먼,256,16,16,64,256,256,64,128,256,128,256,128,-,-,-,,,UCL,8,7
65,25,58,"34,000",-,69,152,192,29,226,-,26,28,78,67,191,78,,256,곰식,티스라오,원더,128,256,256,32,256,원더,32,32,128,128,256,128,원더,256,"검식, 곰식",,카르페디엠,23,26
86,22,58,"34,000",175,227,164,64,-,146,190,27,35,192,35,172,240,,,폼달손,성검,256,256,256,64,원더,256,256,32,64,256,64,256,256,256,-,"긴바지, GRAY, 회색쌀바지, 야쿄, 보 리, 폼달손",계정 변경 폼달손(S14),메이저,4,2
79,23,62,"33,500",-,-,88,-,120,156,58,31,44,239,38,194,198,,256,망할것,레이갈드,골3,원더,128,원더,128,256,64,32,64,256,64,256,256,256,256,"망할것, 다람쥐여단흥할것",,사신,6,6
145,17,62,"33,500",-,183,183,97,253,165,187,91,174,248,202,105,227,,256,람쥐,칼자스,원더,256,256,128,256,256,256,128,256,256,256,128,256,256,256,,,형귀헬스장,8,4
48,28,62,"33,500",-,-,-,-,-,-,108,54,242,51,63,165,61,7,64,아멜다,이바스,-,-,-,-,실1,원더,128,64,256,64,64,256,64,8,8,,,,1,1
29,32,65,"33,000",49,1,59,217,68,25,7,195,51,-,-,-,-,,,해래,카먼,64,1,64,256,128,32,8,256,64,원더,골2,원더,원더,골1,원더,"seiko, Seiko, 빡방덱특서밋줫밥, KAZ ACE",계정 변경 카즈가오(S6),UCL,5,8
