Rank(P),Point,Rank(C),Cristal,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,S16 Od,S17 Od,S18 Od,S19 Od,S20 Od,이전 아이디,비고,여단,SRP,SRC
1,102,1,"91,000",엑시즈,성검,원더,원더,64,256,256,128,256,8,32,1,2,64,2,1,4,32,4,8,128,16,-,-,62,207,-,87,237,5,24,1,2,40,2,1,4,,4,-,-,16,"하루에하나씩, 엑시즈, 엑시즈TVmSR, 트윈테일츤데레",,세인트,1,1
2,95,2,"86,500",갑꾸꾸,티스라오,256,256,128,256,4,128,16,64,256,16,128,16,64,2,1,8,8,32,16,16,254,228,119,247,3,106,12,46,163,11,102,15,54,2,1,7,8,,,16,,,카르페디엠,1,1
3,90,3,"84,000",니나노오피스7o,노센레이어,4,64,128,32,16,64,64,1,1,16,64,32,32,16,64,32,32,256,128,256,4,63,91,31,9,48,41,1,1,9,39,31,26,16,64,,17,-,-,256,"니나노오피스7, 니나노오피스7o",,BlackTea,1,1
4,80,4,"80,000",깡통대장,발디아,256,256,256,256,64,128,256,4,8,4,128,256,4,16,32,2,16,64,256,32,160,239,187,161,52,89,159,3,8,3,70,147,4,12,32,2,15,,,32,"알아서기어, 깡통대장",,형귀헬스장,1,1
6,75,5,"74,500",Pooh,라카스,원더,원더,원더,128,256,128,16,256,256,2,16,4,1,32,128,1,32,128,64,128,-,-,-,128,217,128,11,174,147,2,16,3,1,17,128,1,24,,,128,,,카콘시스,1,1
8,65,6,"72,500",크리티아네,티스라오,원더,256,256,256,64,1,4,32,4,32,4,16,64,128,128,128,256,256,256,256,-,152,213,194,62,1,4,22,4,17,3,10,55,110,128,,,,,256,"ser3, 레  이  첼",,여고생,2,2
7,72,7,"71,000",블리에르,노센레이어,골3,128,32,256,128,256,원더,128,256,256,32,16,128,64,16,4,8,4,8,32,-,95,26,172,121,197,-,97,131,244,18,13,120,62,12,4,5,,,32,"Aimer, 블리에르, 일레이나, LOSTARK, 블리에bKwVW, 블리에, 공백닉31, 백수됐어요, Geist",,랑린이,2,2
8,65,8,"69,000",시크릿아이I,노센레이어,원더,256,4,256,64,256,16,128,64,128,128,64,16,64,128,128,128,64,1,32,-,194,4,155,50,175,15,69,52,74,75,57,14,61,128,,,,,32,,,피닉스,3,3
5,77,9,"66,500",전설적영검,벨제리아,실2,실2,골3,골3,실1,골3,원더,원더,256,256,128,2,8,4,8,64,2,1,4,32,-,-,-,-,-,-,-,-,246,170,79,2,8,4,5,,2,,,16,,,달빛,1,1
12,57,10,"63,500",Affogato,카먼,256,256,256,256,256,4,128,128,32,256,128,128,16,32,128,16,64,256,128,64,217,173,148,225,154,4,83,72,27,222,111,110,16,20,128,,,,,64,"천      사, 어터미, 에스프레소, 진홍의사신뽑음, 알베도뽑음",,레이갈드,2,1
13,56,10,"63,500",일리천,카먼,원더,원더,256,256,128,32,256,8,16,128,256,16,64,128,8,16,256,32,64,256,-,-,139,201,98,32,256,6,13,76,132,9,42,95,6,,,,,256,,,랑갤럼,3,1
15,55,10,"63,500",こまつなな,티스라오,256,256,256,원더,64,128,128,128,256,64,32,64,256,64,256,16,256,8,4,32,242,191,194,-,56,100,87,105,226,42,25,43,163,35,256,,,,,32,코마츠나나,,여고생,3,3
10,59,13,"62,500",노에미(카먼),카먼,골3,원더,256,256,128,256,128,64,64,256,256,4,64,128,64,64,16,32,16,16,-,-,250,235,93,196,77,52,43,245,184,4,45,99,33,,13,,,16,"스콧트, 노에미",,랑린이,1,3
13,56,13,"62,500",실력,발디아,256,128,256,256,256,128,16,128,64,128,16,32,64,128,128,128,32,128,256,16,196,87,243,159,202,105,9,119,45,84,9,25,46,119,128,,23,,,16,"은하수앙마, 실력, 심신미약 실력",,카콘시스,2,2
15,55,15,"62,000",파오,노센레이어,128,256,256,256,8,16,256,32,256,64,64,64,64,16,128,256,256,256,64,128,88,189,236,234,6,16,146,19,236,46,42,33,39,15,128,,,,,128,,,랑린이,4,4
15,55,15,"62,000",베올브,티스라오,256,256,32,256,256,128,32,256,64,128,128,128,64,256,32,32,32,16,32,256,204,193,25,252,215,101,24,250,48,103,68,95,48,256,18,,29,,,256,,,카르페디엠,3,4
21,52,17,"60,500",부모님무병장수,카먼,256,32,256,원더,64,64,32,64,256,64,16,64,64,256,256,4,원더,256,64,32,156,22,229,-,36,43,27,49,235,37,11,37,60,175,256,3,,,,32,,,랑갤럼,4,4
19,53,18,"60,000",가우르 구라,티스라오,256,128,32,64,256,128,128,128,128,32,32,8,256,32,16,256,256,128,256,-,233,71,31,63,222,120,84,79,111,20,29,7,178,28,13,,,,,,씨씨,,전설의 시작,6,5
11,58,19,"59,000",리블릿,레이갈드,256,32,64,원더,128,원더,-,64,32,64,64,64,256,128,32,16,16,128,16,256,244,25,42,-,73,-,-,64,25,45,33,52,143,102,24,,9,,,256,,,대한민국,1,1
22,50,20,"57,500",이그니션,티스라오,원더,원더,8,256,128,256,128,256,16,256,64,128,64,32,16,256,256,64,128,128,-,-,7,245,81,133,107,130,15,166,44,126,38,25,14,,,,,128,"이그니션, 이그재명",,여고생,7,6
